settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-100110,UTR2026080801110,64483,2026-08-08,0,0,Settlement for INV-2110 batch 08Aug,BATCH-0011
STL-100101,UTR2026082801101,557446,2026-08-28,0,0,Settlement for INV-2101 batch 28Aug,BATCH-0010
STL-100035,UTR2026081201035,13951946,2026-08-12,384156,0,Settlement for INV-2035 batch 12Aug,BATCH-0003
STL-100114,UTR2026081601114,507944,2026-08-16,0,0,Settlement for INV-2114 batch 16Aug,BATCH-0011
STL-100054,UTR2026081801054,40139005,2026-08-21,0,0,Settlement for INV-2054 batch 18Aug,BATCH-0005
STL-100043,UTR2026082201043,1693183,2026-08-22,0,0,Settlement for INV-2043 batch 22Aug,BATCH-0004
STL-100013-DUP,UTR2026080601013D,2106383,2026-08-06,0,0,Settlement for INV-2013 batch 06Aug,BATCH-0001
STL-100064,UTR2026081901064,69280,2026-08-19,0,0,Settlement for INV-2064 batch 19Aug,BATCH-0006
STL-100121,UTR2026082101121,556298,2026-08-21,0,0,Settlement for INV-2121 batch 21Aug,BATCH-0012
STL-100145,UTR2026081401145,338018,2026-08-14,0,0,Settlement for INV-2145 batch 14Aug,BATCH-0014
STL-100132,UTR2026080201132,8752615,2026-08-02,0,0,Settlement for INV-2132 batch 02Aug,BATCH-0013
STL-100124,UTR2026080901124,978021,2026-08-09,0,0,Settlement for INV-2124 batch 09Aug,BATCH-0012
STL-100076,UTR2026080401076,6787257,2026-08-04,134586,0,Settlement for INV-2076 batch 04Aug,BATCH-0007
STL-100061,UTR2026082701061,1664146,2026-08-27,0,0,Settlement for INV-2061 batch 27Aug,BATCH-0006
STL-100142,UTR2026081601142,96486,2026-08-16,0,0,Settlement for INV-2142 batch 16Aug,BATCH-0014
STL-100118,UTR2026082701118,41191,2026-08-27,0,0,Settlement for INV-2118 batch 27Aug,BATCH-0011
STL-100055,UTR2026081601055,18776865,2026-08-16,0,0,Settlement for INV-2055 batch 16Aug,BATCH-0005
STL-100033,UTR2026081301033,2069205,2026-08-13,0,0,Settlement for INV-2033 batch 13Aug,BATCH-0003
STL-100096,UTR2026080701096,22802,2026-08-07,0,0,Settlement for INV-2096 batch 07Aug,BATCH-0009
STL-100125,UTR2026083101125,41447728,2026-08-31,721574,0,Settlement for INV-2125 batch 31Aug,BATCH-0012
STL-100095,UTR2026081401095,44774699,2026-08-14,0,0,Settlement for INV-2095 batch 14Aug,BATCH-0009
STL-100142-DUP,UTR2026081601142D,96486,2026-08-16,0,0,Settlement for INV-2142 batch 16Aug,BATCH-0014
STL-100104,UTR2026081501104,40514907,2026-08-15,0,0,Settlement for INV-2104 batch 15Aug,BATCH-0010
STL-100018,UTR2026081901018,263099,2026-08-19,0,0,Settlement for INV-2018 batch 19Aug,BATCH-0001
STL-100131,UTR2026081901131,24197118,2026-08-19,643343,0,Settlement for INV-2131 batch 19Aug,BATCH-0013
STL-100010,UTR2026081301010,86978,2026-08-13,0,0,Settlement for INV-2010 batch 13Aug,BATCH-0001
STL-100075,UTR2026080701075,389562,2026-08-07,0,0,Settlement for INV-2075 batch 07Aug,BATCH-0007
STL-100119,UTR2026083001119,42562,2026-08-30,0,0,Settlement for INV-2119 batch 30Aug,BATCH-0011
STL-100097,UTR2026080101097,57121,2026-08-01,0,0,Settlement for INV-2097 batch 01Aug,BATCH-0009
STL-100040,UTR2026081301040,8110934,2026-08-13,0,0,Settlement for INV-2040 batch 13Aug,BATCH-0004
STL-100090-DUP,UTR2026081901090D,9630802,2026-08-19,0,0,Settlement for INV-2090 batch 19Aug,BATCH-0009
STL-100141,UTR2026081501141,2825233,2026-08-15,0,0,Settlement for INV-2141 batch 15Aug,BATCH-0014
STL-100046,UTR2026082501046,67260,2026-08-25,0,0,Settlement for INV-2046 batch 25Aug,BATCH-0004
STL-100019,UTR2026083001019,7430233,2026-08-30,0,0,Settlement for INV-2019 batch 30Aug,BATCH-0001
STL-100042,UTR2026082201042,1235600,2026-08-22,0,0,Settlement for INV-2042 batch 22Aug,BATCH-0004
STL-100057,UTR2026080301057,98071,2026-08-03,0,0,Settlement for INV-2057 batch 03Aug,BATCH-0005
STL-100052,UTR2026081101052,12569154,2026-08-11,0,0,Settlement for INV-2052 batch 11Aug,BATCH-0005
STL-100047,UTR2026083001047,2029783,2026-08-30,0,0,Settlement for INV-2047 batch 30Aug,BATCH-0004
STL-100138,UTR2026080501138,98716,2026-08-05,0,0,Settlement for INV-2138 batch 05Aug,BATCH-0013
STL-100066,UTR2026080101066,5712792,2026-08-01,0,0,Settlement for INV-2066 batch 01Aug,BATCH-0006
STL-100093,UTR2026082201093,4973494,2026-08-22,0,0,Settlement for INV-2093 batch 22Aug,BATCH-0009
STL-100011,UTR2026080501011,17608356,2026-08-05,0,0,Settlement for INV-2011 batch 05Aug,BATCH-0001
STL-100003,UTR2026080501003,305560,2026-08-05,0,0,Settlement for INV-2003 split batch 05Aug,BATCH-0000
STL-100080,UTR2026080501080,15397,2026-08-05,430,0,Settlement for INV-2080 batch 05Aug,BATCH-0008
STL-100136,UTR2026081901136,402205,2026-08-19,0,0,Settlement for INV-2136 batch 19Aug,BATCH-0013
STL-100140,UTR2026081701140,7957791,2026-08-17,134624,0,Settlement for INV-2140 batch 17Aug,BATCH-0014
STL-100008,UTR2026080801008,45295323,2026-08-08,0,0,Settlement for INV-2008 batch 08Aug,BATCH-0000
STL-100050,UTR2026082101050,21092454,2026-08-23,0,0,Settlement for INV-2050 batch 21Aug,BATCH-0005
STL-100083,UTR2026080901083,1845713,2026-08-09,30427,0,Settlement for INV-2083 batch 09Aug,BATCH-0008
STL-100071,UTR2026080301071,1736774,2026-08-03,45997,0,Settlement for INV-2071 batch 03Aug,BATCH-0007
STL-100017,UTR2026082801017,52721,2026-08-28,0,0,Settlement for INV-2017 batch 28Aug,BATCH-0001
STL-100109,UTR2026083101109,44070612,2026-08-31,0,0,Settlement for INV-2109 batch 31Aug,BATCH-0010
STL-100022,UTR2026082701022,21399496,2026-08-27,0,0,Settlement for INV-2022 batch 27Aug,BATCH-0002
STL-100000,UTR2026081701000,2201959,2026-08-17,0,0,Settlement for INV-2000 batch 17Aug,BATCH-0000
STL-100137,UTR2026080901137,82159,2026-08-09,0,0,Settlement for INV-2137 batch 09Aug,BATCH-0013
STL-100085,UTR2026083001085,1748442,2026-08-30,48181,0,Settlement for INV-2085 batch 30Aug,BATCH-0008
STL-100146,UTR2026081101146,89280,2026-08-11,0,0,Settlement for INV-2146 batch 11Aug,BATCH-0014
STL-100068,UTR2026081501068,20803296,2026-08-15,0,0,Settlement for INV-2068 split batch 15Aug,BATCH-0006
STL-100045,UTR2026080801045,25359139,2026-08-08,0,0,Settlement for INV-2045 batch 08Aug,BATCH-0004
STL-100007,UTR2026080901007,261754,2026-08-09,0,0,Settlement for INV-2007 batch 09Aug,BATCH-0000
STL-100067,UTR2026082301067,35423404,2026-08-23,0,0,Settlement for INV-2067 batch 23Aug,BATCH-0006
STL-100006,UTR2026080101006,626702,2026-08-01,0,0,Settlement for INV-2006 batch 01Aug,BATCH-0000
STL-100107,UTR2026081701107,96612,2026-08-17,0,0,Settlement for INV-2107 batch 17Aug,BATCH-0010
STL-100139,UTR2026080201139,6916338,2026-08-02,0,0,Settlement for INV-2139 batch 02Aug,BATCH-0013
STL-100070,UTR2026081101070,6156576,2026-08-11,0,0,Settlement for INV-2070 batch 11Aug,BATCH-0007
STL-100028,UTR2026081201028,2275898,2026-08-12,0,0,Settlement for INV-2028 batch 12Aug,BATCH-0002
STL-100092,UTR2026081101092,28800416,2026-08-11,0,0,Settlement for INV-2092 batch 11Aug,BATCH-0009
STL-100088,UTR2026081501088,20889848,2026-08-15,0,0,Settlement for INV-2088 batch 15Aug,BATCH-0008
STL-100026,UTR2026080601026,2526592,2026-08-06,0,0,Settlement for INV-2026 batch 06Aug,BATCH-0002
STL-100056,UTR2026083001056,38967255,2026-08-30,0,0,Settlement for INV-2056 batch 30Aug,BATCH-0005
STL-100120,UTR2026082001120,2098730,2026-08-20,0,0,Settlement for INV-2120 batch 20Aug,BATCH-0012
STL-100038,UTR2026082401038,11641,2026-08-27,0,0,Settlement for INV-2038 batch 24Aug,BATCH-0003
STL-100053,UTR2026082801053,49216,2026-08-28,0,0,Settlement for INV-2053 batch 28Aug,BATCH-0005
STL-100126,UTR2026080301126,7931553,2026-08-03,0,0,Settlement for INV-2126 batch 03Aug,BATCH-0012
STL-100143,UTR2026080501143,91331,2026-08-05,0,0,Settlement for INV-2143 batch 05Aug,BATCH-0014
STL-100025,UTR2026081701025,5071568,2026-08-17,0,0,Settlement for INV-2025 split batch 17Aug,BATCH-0002
STL-100089,UTR2026080301089,59937,2026-08-03,1817,0,Settlement for INV-2089 batch 03Aug,BATCH-0008
STL-100078,UTR2026082801078,32724,2026-08-31,0,0,Settlement for INV-2078 batch 28Aug,BATCH-0007
STL-100072,UTR2026081501072,35836116,2026-08-15,0,0,Settlement for INV-2072 batch 15Aug,BATCH-0007
STL-100013,UTR2026080601013,2106383,2026-08-06,0,0,Settlement for INV-2013 batch 06Aug,BATCH-0001
STL-100106,UTR2026081601106,1545340,2026-08-16,0,0,Settlement for INV-2106 batch 16Aug,BATCH-0010
