settlement_id,bank_txn_id,true_class,should_match
STL-000164,BNK-50064,bank_charge,True
STL-000165,BNK-50065,perfect_match,True
STL-000166,BNK-50066,perfect_match,True
STL-000167,BNK-50067,bank_charge,True
STL-000168,BNK-50068,perfect_match,True
STL-000169,BNK-50069,perfect_match,True
STL-000170,BNK-50070,perfect_match,True
STL-000171,BNK-50071,perfect_match,True
STL-000172,BNK-50072,perfect_match,True
STL-000173,BNK-50073,perfect_match,True
STL-000174,BNK-50074,perfect_match,True
STL-000175,BNK-50075,perfect_match,True
STL-000176,BNK-50076,amount_mismatch,False
STL-000177,BNK-50077,perfect_match,True
STL-000178,BNK-50078,perfect_match,True
STL-000179,BNK-50079,perfect_match,True
STL-000180,BNK-50080,perfect_match,True
STL-000181,BNK-50081,perfect_match,True
STL-000182,BNK-50082,perfect_match,True
STL-000183,BNK-50083,perfect_match,True
STL-000184,BNK-50084,perfect_match,True
STL-000185,BNK-50085,perfect_match,True
STL-000186,BNK-50086,amount_mismatch,False
STL-000187,BNK-50087,perfect_match,True
STL-000188,BNK-50088,perfect_match,True
STL-000189,,missing_from_bank,False
STL-000190,BNK-50090,perfect_match,True
STL-000191,BNK-50091,perfect_match,True
STL-000192,BNK-50092,bank_charge,True
STL-000193,BNK-50093,perfect_match,True
STL-000194,BNK-50094,perfect_match,True
STL-000195,BNK-50095,perfect_match,True
STL-000196,BNK-50096,perfect_match,True
STL-000197,BNK-50097,perfect_match,True
STL-000198,BNK-50098,perfect_match,True
STL-000199,BNK-50099,perfect_match,True
STL-000200,BNK-50100,amount_mismatch,False
STL-000201,BNK-50101,perfect_match,True
STL-000202,BNK-50102,perfect_match,True
STL-000203,BNK-50103,perfect_match,True
STL-000204,BNK-50104,timing_delay,True
STL-000205,BNK-50105,perfect_match,True
STL-000206,BNK-50106,perfect_match,True
STL-000207,BNK-50107,perfect_match,True
STL-000208,BNK-50108,perfect_match,True
STL-000209,BNK-50109,perfect_match,True
STL-000210,BNK-50110,perfect_match,True
STL-000211,BNK-50111,perfect_match,True
STL-000212,BNK-50112,perfect_match,True
STL-000213,BNK-50113,bank_charge,True
STL-000214,BNK-50114,perfect_match,True
STL-000215,BNK-50115,perfect_match,True
STL-000216,BNK-50116,perfect_match,True
STL-000217,BNK-50117,perfect_match,True
STL-000218,BNK-50118,perfect_match,True
STL-000219,BNK-50119,timing_delay,True
STL-000220,BNK-50120,perfect_match,True
STL-000221,BNK-50121,perfect_match,True
STL-000222,BNK-50122,perfect_match,True
STL-000223,BNK-50123,perfect_match,True
STL-000224,BNK-50124,timing_delay,True
STL-000225,,missing_from_bank,False
STL-000226,BNK-50126,bank_charge,True
STL-000227,BNK-50127,perfect_match,True
STL-000228,BNK-50128,perfect_match,True
STL-000229,BNK-50129,perfect_match,True
STL-000230,BNK-50130,perfect_match,True
STL-000231,BNK-50131,bank_charge,True
STL-000232,BNK-50132,perfect_match,True
STL-000233,BNK-50133,perfect_match,True
STL-000234,BNK-50134,perfect_match,True
STL-000235,BNK-50135,perfect_match,True
STL-000236,BNK-50136,perfect_match,True
STL-000237,BNK-50137,perfect_match,True
STL-000238,BNK-50138,perfect_match,True
STL-000239,BNK-50139,perfect_match,True
STL-000240,BNK-50140,perfect_match,True
STL-000241,BNK-50141,bank_charge,True
STL-000242,BNK-50142,perfect_match,True
STL-000243,BNK-50143,perfect_match,True
STL-000244,BNK-50144,perfect_match,True
STL-000245,BNK-50145,perfect_match,True
STL-000246,BNK-50146,perfect_match,True
STL-000247,,missing_from_bank,False
STL-000248,BNK-50148,perfect_match,True
STL-000249,BNK-50149,perfect_match,True
STL-000250,BNK-50150,perfect_match,True
STL-000251,BNK-50151,timing_delay,True
STL-000252,BNK-50152,perfect_match,True
STL-000253,BNK-50153,perfect_match,True
STL-000254,BNK-50154,perfect_match,True
