bank_txn_id,utr_reference,credit_amount_inr,credit_date,bank_narration,balance_after
BNK-50030,UTR-SYN-000130,845001,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000130,607525589
BNK-50068,UTR-SYN-000168,48517800,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000168,656043389
BNK-50107,UTR-SYN-000207,4929648,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000207,660973037
BNK-50115,UTR-SYN-000215,27500,2026-08-09T00:00:00,NEFT from Razorpay UTR-SYN-000215,661000537
BNK-50013,UTR-SYN-000113,582000,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000113,661582537
BNK-50027,UTR-SYN-000127,15100,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000127,661597637
BNK-50110,UTR-SYN-000210,3696683,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000210,665294320
BNK-50121,UTR-SYN-000221,75600,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000221,665369920
BNK-50122,UTR-SYN-000222,3593600,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000222,668963520
BNK-50127,UTR-SYN-000227,3398821,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000227,672362341
BNK-50132,UTR-SYN-000232,723207,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000232,673085548
BNK-50133,UTR-SYN-000233,39171600,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000233,712257148
BNK-50154,UTR-SYN-000251,944300,2026-08-10T00:00:00,NEFT from Razorpay UTR-SYN-000251,713201448
BNK-50007,UTR-SYN-000107,4045288,2026-08-11T00:00:00,NEFT from Razorpay UTR-SYN-000107,717246736
BNK-50009,UTR-SYN-000109,6504700,2026-08-11T00:00:00,NEFT from Razorpay UTR-SYN-000109,723751436
BNK-50057,UTR-SYN-000157,32100,2026-08-11T00:00:00,NEFT from Razorpay UTR-SYN-000157,723783536
BNK-50100,UTR-SYN-000200,25262610,2026-08-11T00:00:00,NEFT from Razorpay UTR-SYN-000200,749046146
BNK-50003,UTR-SYN-000103,35800,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000103,749081946
BNK-50065,UTR-SYN-000165,8872400,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000165,757954346
BNK-50091,UTR-SYN-000191,22800,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000191,757977146
BNK-50145,UTR-SYN-000244,38616200,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000244,796593346
BNK-50146,UTR-SYN-000244,38616200,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000244,835209546
BNK-50150,UTR-SYN-000247,56400,2026-08-12T00:00:00,NEFT from Razorpay UTR-SYN-000247,835265946
BNK-50014,UTR-SYN-000114,4627200,2026-08-14T00:00:00,NEFT from Razorpay UTR-SYN-000114,839893146
BNK-50038,UTR-SYN-000138,1597900,2026-08-14T00:00:00,NEFT from Razorpay UTR-SYN-000138,841491046
BNK-50059,UTR-SYN-000159,12000,2026-08-14T00:00:00,NEFT from Razorpay UTR-SYN-000159,841503046
BNK-50103,UTR-SYN-000203,4536275,2026-08-14T00:00:00,NEFT from Razorpay UTR-SYN-000203,846039321
BNK-50152,UTR-SYN-000249,593400,2026-08-14T00:00:00,NEFT from Razorpay UTR-SYN-000249,846632721
BNK-50012,UTR-SYN-000112,38863900,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000112,885496621
BNK-50025,UTR-SYN-000125,24942700,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000125,910439321
BNK-50034,UTR-SYN-000134,33307038,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000134,943746359
BNK-50051,UTR-SYN-000151,33936300,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000151,977682659
BNK-50077,UTR-SYN-000177,14200,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000177,977696859
BNK-50084,UTR-SYN-000184,16391100,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000184,994087959
BNK-50118,UTR-SYN-000218,87500,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000218,994175459
BNK-50124,UTR-SYN-000224,341900,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000224,994517359
BNK-50126,UTR-SYN-000226,11268150,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000226,1005785509
BNK-50130,UTR-SYN-000230,323949,2026-08-15T00:00:00,NEFT from Razorpay UTR-SYN-000230,1006109458
BNK-50021,UTR-SYN-000121,1672300,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000121,1007781758
BNK-50046,UTR-SYN-000146,285800,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000146,1008067558
BNK-50047,UTR-SYN-000147,26783600,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000147,1034851158
BNK-50093,UTR-SYN-000193,48100,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000193,1034899258
BNK-50096,UTR-SYN-000196,11200,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000196,1034910458
BNK-50101,UTR-SYN-000201,597339,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000201,1035507797
BNK-50112,UTR-SYN-000212,18812936,2026-08-16T00:00:00,NEFT from Razorpay UTR-SYN-000212,1054320733
BNK-50094,UTR-SYN-000194,10717500,2026-08-17T00:00:00,NEFT from Razorpay UTR-SYN-000194,1065038233
BNK-50109,UTR-SYN-000209,62057,2026-08-17T00:00:00,NEFT from Razorpay UTR-SYN-000209,1065100290
BNK-50135,UTR-SYN-000235,14562500,2026-08-17T00:00:00,NEFT from Razorpay UTR-SYN-000235,1079662790
BNK-50024,UTR-SYN-000124,62600,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000124,1079725390
BNK-50043,UTR-SYN-000143,1338200,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000143,1081063590
BNK-50045,UTR-SYN-000145,29500,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000145,1081093090
BNK-50058,UTR-SYN-000158,21602100,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000158,1102695190
BNK-50061,UTR-SYN-000161,2922600,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000161,1105617790
BNK-50085,UTR-SYN-000185,1651100,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000185,1107268890
BNK-50090,UTR-SYN-000190,104600,2026-08-18T00:00:00,NEFT from Razorpay UTR-SYN-000190,1107373490
BNK-50001,UTR-SYN-000101,4792400,2026-08-19T00:00:00,NEFT from Razorpay UTR-SYN-000101,1112165890
BNK-50037,UTR-SYN-000137,950200,2026-08-19T00:00:00,NEFT from Razorpay UTR-SYN-000137,1113116090
BNK-50067,UTR-SYN-000167,17432142,2026-08-19T00:00:00,NEFT from Razorpay UTR-SYN-000167,1130548232
BNK-50082,UTR-SYN-000182,24451600,2026-08-19T00:00:00,NEFT from Razorpay UTR-SYN-000182,1154999832
BNK-50006,UTR-SYN-000106,3854000,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000106,1158853832
BNK-50010,UTR-SYN-000110,2693100,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000110,1161546932
BNK-50026,UTR-SYN-000126,65200,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000126,1161612132
BNK-50028,UTR-SYN-000128,5140200,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000128,1166752332
BNK-50042,UTR-SYN-000142,1355200,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000142,1168107532
BNK-50083,UTR-SYN-000183,48709500,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000183,1216817032
BNK-50098,UTR-SYN-000198,3069009,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000198,1219886041
BNK-50114,UTR-SYN-000214,40558100,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000214,1260444141
BNK-50117,UTR-SYN-000217,387800,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000217,1260831941
BNK-50153,UTR-SYN-000250,10812100,2026-08-20T00:00:00,NEFT from Razorpay UTR-SYN-000250,1271644041
BNK-50005,UTR-SYN-000105,1691600,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000105,1273335641
BNK-50031,UTR-SYN-000131,424100,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000131,1273759741
BNK-50044,UTR-SYN-000144,34400,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000144,1273794141
BNK-50071,UTR-SYN-000171,68500,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000171,1273862641
BNK-50079,UTR-SYN-000179,141000,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000179,1274003641
BNK-50087,UTR-SYN-000187,845000,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000187,1274848641
BNK-50095,UTR-SYN-000195,20814100,2026-08-21T00:00:00,NEFT from Razorpay UTR-SYN-000195,1295662741
BNK-50041,UTR-SYN-000141,38100,2026-08-22T00:00:00,NEFT from Razorpay UTR-SYN-000141,1295700841
BNK-50104,UTR-SYN-000204,1313001,2026-08-22T00:00:00,NEFT from Razorpay UTR-SYN-000204,1297013842
BNK-50020,UTR-SYN-000120,1357300,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000120,1298371142
BNK-50029,UTR-SYN-000129,1213900,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000129,1299585042
BNK-50033,UTR-SYN-000133,11519700,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000133,1311104742
BNK-50039,UTR-SYN-000139,22291200,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000139,1333395942
BNK-50053,UTR-SYN-000153,44043900,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000153,1377439842
BNK-50131,UTR-SYN-000231,581768,2026-08-23T00:00:00,NEFT from Razorpay UTR-SYN-000231,1378021610
BNK-50016,UTR-SYN-000116,28600,2026-08-24T00:00:00,NEFT from Razorpay UTR-SYN-000116,1378050210
BNK-50072,UTR-SYN-000172,1218600,2026-08-24T00:00:00,NEFT from Razorpay UTR-SYN-000172,1379268810
BNK-50102,UTR-SYN-000202,9754323,2026-08-24T00:00:00,NEFT from Razorpay UTR-SYN-000202,1389023133
BNK-50008,UTR-SYN-000108,241900,2026-08-25T00:00:00,NEFT from Razorpay UTR-SYN-000108,1389265033
BNK-50036,UTR-SYN-000136,74000,2026-08-25T00:00:00,NEFT from Razorpay UTR-SYN-000136,1389339033
BNK-50140,UTR-SYN-000240,7290700,2026-08-25T00:00:00,NEFT from Razorpay UTR-SYN-000240,1396629733
BNK-50141,UTR-SYN-000241,3907894,2026-08-25T00:00:00,NEFT from Razorpay UTR-SYN-000241,1400537627
BNK-50019,UTR-SYN-000119,28200,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000119,1400565827
BNK-50032,UTR-SYN-000132,333000,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000132,1400898827
BNK-50064,UTR-SYN-000164,27923,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000164,1400926750
BNK-50075,UTR-SYN-000175,2934200,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000175,1403860950
BNK-50076,UTR-SYN-000176,40456066,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000176,1444317016
BNK-50088,UTR-SYN-000188,182800,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000188,1444499816
BNK-50106,UTR-SYN-000206,1714404,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000206,1446214220
BNK-50129,UTR-SYN-000229,40975,2026-08-26T00:00:00,NEFT from Razorpay UTR-SYN-000229,1446255195
BNK-50018,UTR-SYN-000118,82800,2026-08-27T00:00:00,NEFT from Razorpay UTR-SYN-000118,1446337995
BNK-50069,UTR-SYN-000169,44068400,2026-08-27T00:00:00,NEFT from Razorpay UTR-SYN-000169,1490406395
BNK-50074,UTR-SYN-000174,3397600,2026-08-27T00:00:00,NEFT from Razorpay UTR-SYN-000174,1493803995
BNK-50123,UTR-SYN-000223,936300,2026-08-27T00:00:00,NEFT from Razorpay UTR-SYN-000223,1494740295
BNK-50142,UTR-SYN-000242,47395100,2026-08-27T00:00:00,NEFT from Razorpay UTR-SYN-000242,1542135395
BNK-50113,UTR-SYN-000213,821181,2026-08-28T00:00:00,NEFT from Razorpay UTR-SYN-000213,1542956576
BNK-50119,UTR-SYN-000219,27506800,2026-08-29T00:00:00,NEFT from Razorpay UTR-SYN-000219,1570463376
BNK-50120,UTR-SYN-000220,763600,2026-08-29T00:00:00,NEFT from Razorpay UTR-SYN-000220,1571226976
