settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-000241,UTR-SYN-000241,3911100,2026-08-25,65448,11780,Split settlement B for INV-000241,BATCH-000238
STL-000242,UTR-SYN-000242,47395100,2026-08-27,611882,110138,Stl INV-000242,BATCH-000239
STL-000243,UTR-SYN-000243,31366700,2026-08-06,698014,125642,Stl INV-000243,BATCH-000240
STL-000244,UTR-SYN-000243,31366700,2026-08-06,698014,125642,Stl INV-000243,BATCH-000240
STL-000245,UTR-SYN-000244,38616200,2026-08-12,707375,127327,Stl INV-000244,BATCH-000241
STL-000246,UTR-SYN-000244,38616200,2026-08-12,707375,127327,Stl INV-000244,BATCH-000241
STL-000247,UTR-SYN-000245,77800,2026-08-25,965,173,Stl INV-000245,BATCH-000242
STL-000248,UTR-SYN-000246,48570700,2026-08-03,1175226,211540,Stl INV-000246,BATCH-000243
STL-000249,UTR-SYN-000246,48570700,2026-08-03,1175226,211540,Stl INV-000246,BATCH-000243
STL-000250,UTR-SYN-000247,56400,2026-08-12,587,105,Orphaned payment BATCH-000244,BATCH-000245
STL-000251,UTR-SYN-000248,76200,2026-08-03,1054,189,Orphaned payment BATCH-000246,BATCH-000247
STL-000252,UTR-SYN-000249,593400,2026-08-14,11621,2091,Settlement for INV-O00250,BATCH-000248
STL-000253,UTR-SYN-000250,10812100,2026-08-20,195059,35110,Settlement for INV-O00251,BATCH-000249
STL-000254,UTR-SYN-000251,944300,2026-08-10,15522,2793,Settlement for INV-O00252,BATCH-000250
